X,responseid,age,sex_birth,gender_male,gender_female,gender_transm,gender_transf,gender_queernc,gender_nonbin,gender_selfID,race_black,race_ainaan,race_asian,race_his_temp,race_pi,race_mides,race_white,race_other,fincur,aca_impa,belong1,discrim,trans,cis
87,R_ctZiMHIuON3Uyxr,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,1,0,1
88,R_3azwp9cPyW3PCXT,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,4,1,2,0,1
89,R_2czKMcDQ7ltqiG2,21,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,5,1,0,1
90,R_2tmLhjKjUMw079e,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,3,0,1
93,R_1P7OJc4Dez2j7AL,21,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,1,0,1
94,R_29gp1TbA3WipVQ8,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,1,1,0,1
96,R_42QmOTFIdx3tMu5,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,3,1,2,0,1
98,R_3qVGOrkd5LIu8PG,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,3,1,0,1
99,R_PBZMPI6mFYpoNgZ,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,1,0,1
101,R_1mVFsySwV28SrXV,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,2,1,0,1
102,R_1FsU3rjP2sp36s0,22,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,3,1,0,1
105,R_3DqkMzB8HpQ1KpG,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,1,1,0,1
106,R_6DN9ansTBmkODpn,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,6,1,0,1
107,R_297dTeZeZfU9Qh8,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,2,2,0,1
108,R_RIuFObqJ5lq3T7X,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,6,1,0,1
109,R_2bTtXOCmWlHDQeq,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,3,1,0,1
111,R_wNvdVDdm8ERKFVv,18,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,3,2,0,1
112,R_2SfssorixQnuEeF,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,5,1,0,1
